artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BTS,Butter,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,3VqeTFIvhxu3DIe4eZVzGq,spotify:track:3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/tracks/3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/audio-analysis/3VqeTFIvhxu3DIe4eZVzGq,164442,4
Coldplay,My Universe,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,audio_features,3FeVmId7tL5YN8B7R3imoM,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,228000,4
Rauw Alejandro,Todo De Ti,0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,audio_features,5RwV8BvLfX5injfqYodke9,spotify:track:5RwV8BvLfX5injfqYodke9,https://api.spotify.com/v1/tracks/5RwV8BvLfX5injfqYodke9,https://api.spotify.com/v1/audio-analysis/5RwV8BvLfX5injfqYodke9,199604,4
Weninger,Disco Sax,0.855,0.827,8,-7.571,1,0.0835,0.0541,0.912,0.134,0.716,122.002,audio_features,5PpUoCMzIjvbZ7ELUCKWsX,spotify:track:5PpUoCMzIjvbZ7ELUCKWsX,https://api.spotify.com/v1/tracks/5PpUoCMzIjvbZ7ELUCKWsX,https://api.spotify.com/v1/audio-analysis/5PpUoCMzIjvbZ7ELUCKWsX,302035,4
Kygo,Higher Love,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,audio_features,6oJ6le65B3SEqPwMRNXWjY,spotify:track:6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/tracks/6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/audio-analysis/6oJ6le65B3SEqPwMRNXWjY,228267,4
Kungs,Never Going Home,0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,audio_features,0xfMlIW8lS40qvpsUw1l0X,spotify:track:0xfMlIW8lS40qvpsUw1l0X,https://api.spotify.com/v1/tracks/0xfMlIW8lS40qvpsUw1l0X,https://api.spotify.com/v1/audio-analysis/0xfMlIW8lS40qvpsUw1l0X,169945,4
Alonestar,Boom Bap - Mua Cuco,0.758,0.934,10,-5.657,0,0.233,0.08,0.00143,0.116,0.943,188.028,audio_features,1b32on8RU6oeSZOS0gPdRM,spotify:track:1b32on8RU6oeSZOS0gPdRM,https://api.spotify.com/v1/tracks/1b32on8RU6oeSZOS0gPdRM,https://api.spotify.com/v1/audio-analysis/1b32on8RU6oeSZOS0gPdRM,151531,4
Glass Animals,Heat Waves,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
Sonic Scenario,Shape of You,0.723,0.937,1,-3.512,0,0.0525,0.0491,1.67e-06,0.0568,0.52,118.018,audio_features,7xeTeRZsJJBEo2MkIdzP5Z,spotify:track:7xeTeRZsJJBEo2MkIdzP5Z,https://api.spotify.com/v1/tracks/7xeTeRZsJJBEo2MkIdzP5Z,https://api.spotify.com/v1/audio-analysis/7xeTeRZsJJBEo2MkIdzP5Z,183051,4
Jonely,Kerosene,0.465,0.904,11,-7.528,1,0.286,0.00256,0.00856,0.705,0.581,165.05,audio_features,08kR2Rli3ez4qg9DEnG4sy,spotify:track:08kR2Rli3ez4qg9DEnG4sy,https://api.spotify.com/v1/tracks/08kR2Rli3ez4qg9DEnG4sy,https://api.spotify.com/v1/audio-analysis/08kR2Rli3ez4qg9DEnG4sy,167273,4
Maroon 5,Sugar,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,audio_features,2iuZJX9X9P0GKaE93xcPjk,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,235493,4
Julia Liros,MIL COSAS,0.768,0.566,2,-7.589,0,0.0564,0.253,0.00855,0.106,0.713,167.986,audio_features,6jymePW902O7UA41Yrtxif,spotify:track:6jymePW902O7UA41Yrtxif,https://api.spotify.com/v1/tracks/6jymePW902O7UA41Yrtxif,https://api.spotify.com/v1/audio-analysis/6jymePW902O7UA41Yrtxif,145714,4
Mike Posner,Cooler Than Me (feat. Big Sean),0.837,0.515,7,-4.065,0,0.0793,0.103,0,0.233,0.769,129.001,audio_features,2DPYlWl50ydYsnnuryL5aX,spotify:track:2DPYlWl50ydYsnnuryL5aX,https://api.spotify.com/v1/tracks/2DPYlWl50ydYsnnuryL5aX,https://api.spotify.com/v1/audio-analysis/2DPYlWl50ydYsnnuryL5aX,227840,4
Galantis,Dandelion,0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,audio_features,4NexTaCZZ7Ehnf03A6SVjt,spotify:track:4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/tracks/4NexTaCZZ7Ehnf03A6SVjt,https://api.spotify.com/v1/audio-analysis/4NexTaCZZ7Ehnf03A6SVjt,140012,4
J Dynamic,Bahamas,0.902,0.765,11,-6.041,0,0.135,0.132,0,0.324,0.967,133.056,audio_features,5ABCnXvFcQFGhYnGzNAHnE,spotify:track:5ABCnXvFcQFGhYnGzNAHnE,https://api.spotify.com/v1/tracks/5ABCnXvFcQFGhYnGzNAHnE,https://api.spotify.com/v1/audio-analysis/5ABCnXvFcQFGhYnGzNAHnE,178987,4
Bastille,Thelma + Louise,0.766,0.83,9,-3.335,1,0.1,0.0146,0,0.035,0.756,121.948,audio_features,4UxATpWvXewD5EZUW01EeQ,spotify:track:4UxATpWvXewD5EZUW01EeQ,https://api.spotify.com/v1/tracks/4UxATpWvXewD5EZUW01EeQ,https://api.spotify.com/v1/audio-analysis/4UxATpWvXewD5EZUW01EeQ,137477,4
Ed Sheeran,Shivers,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,audio_features,75MNhvTCCKsST3YqqUiU9r,spotify:track:75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/tracks/75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/audio-analysis/75MNhvTCCKsST3YqqUiU9r,207853,4
LaLion,HEAD UP!,0.717,0.515,9,-9.054,1,0.0565,0.103,0,0.395,0.738,86.956,audio_features,6dwWP10L4BcWn945TUT33S,spotify:track:6dwWP10L4BcWn945TUT33S,https://api.spotify.com/v1/tracks/6dwWP10L4BcWn945TUT33S,https://api.spotify.com/v1/audio-analysis/6dwWP10L4BcWn945TUT33S,168178,4
BØRNS,Electric Love,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,audio_features,2GiJYvgVaD2HtM8GqD9EgQ,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/tracks/2GiJYvgVaD2HtM8GqD9EgQ,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107,4
