artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Surf Mesa,Another Life (feat. FLETCHER & Josh Golden),0.648,0.724,0,-5.189,1,0.0263,0.0198,0,0.15,0.382,125.014,audio_features,3ng7epefERNazaZkkbwLdq,spotify:track:3ng7epefERNazaZkkbwLdq,https://api.spotify.com/v1/tracks/3ng7epefERNazaZkkbwLdq,https://api.spotify.com/v1/audio-analysis/3ng7epefERNazaZkkbwLdq,162954,4
Silk City,New Love (feat. Ellie Goulding),0.786,0.732,7,-6.664,1,0.0421,0.0547,2.47e-06,0.342,0.631,123.982,audio_features,3qcse1HvDQ1vGQo6Egtkom,spotify:track:3qcse1HvDQ1vGQo6Egtkom,https://api.spotify.com/v1/tracks/3qcse1HvDQ1vGQo6Egtkom,https://api.spotify.com/v1/audio-analysis/3qcse1HvDQ1vGQo6Egtkom,190680,4
Sam Feldt,The Riddle (feat. Lateshift),0.622,0.756,4,-5.375,1,0.0474,0.346,0,0.3,0.498,95.939,audio_features,6r2lsLYBrnLj0nckwyv7vn,spotify:track:6r2lsLYBrnLj0nckwyv7vn,https://api.spotify.com/v1/tracks/6r2lsLYBrnLj0nckwyv7vn,https://api.spotify.com/v1/audio-analysis/6r2lsLYBrnLj0nckwyv7vn,187500,4
David Solomon,Learn To Love Me (feat. Ryan Tedder),0.579,0.704,6,-6.209,0,0.0305,0.369,0,0.27,0.164,124.978,audio_features,5Apm1AC2iO9thO32d5bA8y,spotify:track:5Apm1AC2iO9thO32d5bA8y,https://api.spotify.com/v1/tracks/5Apm1AC2iO9thO32d5bA8y,https://api.spotify.com/v1/audio-analysis/5Apm1AC2iO9thO32d5bA8y,178560,4
Lilly Ahlberg,Young Forever,0.846,0.637,9,-7.388,0,0.037,0.0219,0.000826,0.0636,0.557,120.997,audio_features,2VveodsDiyIi3zcYMDgRx1,spotify:track:2VveodsDiyIi3zcYMDgRx1,https://api.spotify.com/v1/tracks/2VveodsDiyIi3zcYMDgRx1,https://api.spotify.com/v1/audio-analysis/2VveodsDiyIi3zcYMDgRx1,218294,4
Danny Quest,That Feeling (feat. Hayley May),0.665,0.846,2,-5.563,1,0.031,0.00559,0.007,0.134,0.78,123.988,audio_features,7clsGP3ea7rhBaEK9ga898,spotify:track:7clsGP3ea7rhBaEK9ga898,https://api.spotify.com/v1/tracks/7clsGP3ea7rhBaEK9ga898,https://api.spotify.com/v1/audio-analysis/7clsGP3ea7rhBaEK9ga898,134442,4
Ella Henderson,Risk It All,0.706,0.914,5,-5.668,0,0.0615,0.19,0,0.0886,0.299,124.03,audio_features,2ntTfXxuIi3jlePOKSz26N,spotify:track:2ntTfXxuIi3jlePOKSz26N,https://api.spotify.com/v1/tracks/2ntTfXxuIi3jlePOKSz26N,https://api.spotify.com/v1/audio-analysis/2ntTfXxuIi3jlePOKSz26N,178065,4
Dillon Francis,Reaching Out,0.782,0.748,0,-4.32,1,0.0523,0.0629,0,0.1,0.571,123.937,audio_features,7KTcpv7wPJ4r6lR5SLzurh,spotify:track:7KTcpv7wPJ4r6lR5SLzurh,https://api.spotify.com/v1/tracks/7KTcpv7wPJ4r6lR5SLzurh,https://api.spotify.com/v1/audio-analysis/7KTcpv7wPJ4r6lR5SLzurh,134584,4
Deacon,Love For The Summer (feat. Loren Gray),0.569,0.611,9,-7.275,1,0.0909,0.0198,0,0.0356,0.334,170.121,audio_features,4WpLRgfjvPKvt1vt37z7Wk,spotify:track:4WpLRgfjvPKvt1vt37z7Wk,https://api.spotify.com/v1/tracks/4WpLRgfjvPKvt1vt37z7Wk,https://api.spotify.com/v1/audio-analysis/4WpLRgfjvPKvt1vt37z7Wk,188587,4
GAMPER & DADONI,Rule The World (feat. ILIRA),0.717,0.627,8,-8.198,1,0.0966,0.00974,0,0.222,0.437,125.965,audio_features,3yvHcaY61FpeSiLiHiIST4,spotify:track:3yvHcaY61FpeSiLiHiIST4,https://api.spotify.com/v1/tracks/3yvHcaY61FpeSiLiHiIST4,https://api.spotify.com/v1/audio-analysis/3yvHcaY61FpeSiLiHiIST4,170786,4
