artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Niall Horan,Black And White,0.443,0.582,2,-6.02,1,0.0482,0.0301,0,0.127,0.239,147.589,audio_features,7rpNuuoMbid56XkDsx2FjE,spotify:track:7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/tracks/7rpNuuoMbid56XkDsx2FjE,https://api.spotify.com/v1/audio-analysis/7rpNuuoMbid56XkDsx2FjE,193090,4
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,audio_features,5K6Ssv4Z3zRvxt0P6EKUAP,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/tracks/5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/audio-analysis/5K6Ssv4Z3zRvxt0P6EKUAP,183726,4
Tones And I,Cloudy Day,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,audio_features,0mA7zotmg2ZFMRALljdZsS,spotify:track:0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/tracks/0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/audio-analysis/0mA7zotmg2ZFMRALljdZsS,185304,4
Vance Joy,Missing Piece,0.633,0.843,0,-5.676,1,0.046,0.0142,4.84e-06,0.113,0.748,101.982,audio_features,0YYg6U1Yrd4UjnG5iVhiXh,spotify:track:0YYg6U1Yrd4UjnG5iVhiXh,https://api.spotify.com/v1/tracks/0YYg6U1Yrd4UjnG5iVhiXh,https://api.spotify.com/v1/audio-analysis/0YYg6U1Yrd4UjnG5iVhiXh,217408,4
Alesso,Chasing Stars (feat. James Bay),0.594,0.64,10,-6.865,1,0.033,0.0169,0,0.135,0.492,92.871,audio_features,6y6xhAgZjvxy5kR5rigpY3,spotify:track:6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/tracks/6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/audio-analysis/6y6xhAgZjvxy5kR5rigpY3,170457,4
OneRepublic,Someday,0.576,0.679,0,-7.237,1,0.034,0.0311,0,0.323,0.213,121.005,audio_features,6aDsgHPZsMztSbZernzlF8,spotify:track:6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/tracks/6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/audio-analysis/6aDsgHPZsMztSbZernzlF8,187889,4
The Weeknd,Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
Ritt Momney,Put Your Records On,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,audio_features,1fah1uAs7HeTYDlNftKr3K,spotify:track:1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/tracks/1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/audio-analysis/1fah1uAs7HeTYDlNftKr3K,210463,4
Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
Maroon 5,Lost,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,audio_features,18XlJEroUwFo0tLZxscgXE,spotify:track:18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/tracks/18XlJEroUwFo0tLZxscgXE,https://api.spotify.com/v1/audio-analysis/18XlJEroUwFo0tLZxscgXE,172598,4
Kygo,Lose Somebody,0.58,0.586,1,-6.883,1,0.0357,0.344,0,0.0755,0.507,147.988,audio_features,7xbWAw3LMgRMn4omR5yVn3,spotify:track:7xbWAw3LMgRMn4omR5yVn3,https://api.spotify.com/v1/tracks/7xbWAw3LMgRMn4omR5yVn3,https://api.spotify.com/v1/audio-analysis/7xbWAw3LMgRMn4omR5yVn3,199549,4
Tom Grennan,Little Bit of Love,0.689,0.706,1,-4.48,0,0.0312,0.0833,0,0.105,0.623,106.52,audio_features,78q4ESvMkPVJzHAV11LAGE,spotify:track:78q4ESvMkPVJzHAV11LAGE,https://api.spotify.com/v1/tracks/78q4ESvMkPVJzHAV11LAGE,https://api.spotify.com/v1/audio-analysis/78q4ESvMkPVJzHAV11LAGE,226268,4
Alesso,Midnight (feat. Liam Payne),0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028,audio_features,4ZTTUAjJCd4NMZmIU7RB4c,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,https://api.spotify.com/v1/tracks/4ZTTUAjJCd4NMZmIU7RB4c,https://api.spotify.com/v1/audio-analysis/4ZTTUAjJCd4NMZmIU7RB4c,220141,4
Tai Verdes,A-O-K,0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,audio_features,4CbrNGvwVjneG8Nk9YQqMR,spotify:track:4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/tracks/4CbrNGvwVjneG8Nk9YQqMR,https://api.spotify.com/v1/audio-analysis/4CbrNGvwVjneG8Nk9YQqMR,173640,4
Bazzi,I Like That,0.665,0.692,6,-5.431,0,0.112,0.172,0,0.191,0.68,74.474,audio_features,2RkZZh5XQ4y3sG8gCu96Tz,spotify:track:2RkZZh5XQ4y3sG8gCu96Tz,https://api.spotify.com/v1/tracks/2RkZZh5XQ4y3sG8gCu96Tz,https://api.spotify.com/v1/audio-analysis/2RkZZh5XQ4y3sG8gCu96Tz,158084,4
Jonas Brothers,Remember This,0.669,0.629,1,-5.018,0,0.0803,0.217,0,0.366,0.294,110.865,audio_features,6nACZEZIt1CIBmF09r5Pb5,spotify:track:6nACZEZIt1CIBmF09r5Pb5,https://api.spotify.com/v1/tracks/6nACZEZIt1CIBmF09r5Pb5,https://api.spotify.com/v1/audio-analysis/6nACZEZIt1CIBmF09r5Pb5,178222,4
Andy Grammer,Lease On Life,0.704,0.701,2,-5.44,1,0.0596,0.0593,0,0.126,0.606,88.016,audio_features,763ynRN90zLEp9hrNNINjl,spotify:track:763ynRN90zLEp9hrNNINjl,https://api.spotify.com/v1/tracks/763ynRN90zLEp9hrNNINjl,https://api.spotify.com/v1/audio-analysis/763ynRN90zLEp9hrNNINjl,168163,4
Marshmello,OK Not To Be OK,0.743,0.837,1,-5.025,0,0.0649,0.0172,0,0.0743,0.263,103.072,audio_features,0zzVTGyRrWpQu8Fr28NRAv,spotify:track:0zzVTGyRrWpQu8Fr28NRAv,https://api.spotify.com/v1/tracks/0zzVTGyRrWpQu8Fr28NRAv,https://api.spotify.com/v1/audio-analysis/0zzVTGyRrWpQu8Fr28NRAv,159863,4
Ed Sheeran,Overpass Graffiti,0.52,0.849,9,-3.794,0,0.186,0.00253,0,0.119,0.774,175.908,audio_features,4btFHqumCO31GksfuBLLv3,spotify:track:4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/tracks/4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/audio-analysis/4btFHqumCO31GksfuBLLv3,236907,4
Kane Brown,Be Like That - feat. Swae Lee & Khalid,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,audio_features,5f1joOtoMeyppIcJGZQvqJ,spotify:track:5f1joOtoMeyppIcJGZQvqJ,https://api.spotify.com/v1/tracks/5f1joOtoMeyppIcJGZQvqJ,https://api.spotify.com/v1/audio-analysis/5f1joOtoMeyppIcJGZQvqJ,191406,4
